Freq.	V(V1,V2)/I(R2)
Step Information: V=10p  (Run: 1/9)
3.96296296296296e+004	(7.44237994993564e+001dB,1.10540415617974e+002°)
3.96436436436436e+004	(7.43550174272817e+001dB,1.11335967822686e+002°)
3.96576576576576e+004	(7.42869437491839e+001dB,1.12172010504251e+002°)
3.96716716716716e+004	(7.42198852371996e+001dB,1.13050584514232e+002°)
3.96856856856856e+004	(7.41541914460780e+001dB,1.13973751214846e+002°)
3.96996996996996e+004	(7.40902589796703e+001dB,1.14943569199173e+002°)
3.97137137137137e+004	(7.40285358245749e+001dB,1.15962065092985e+002°)
3.97277277277277e+004	(7.39695256271317e+001dB,1.17031197589449e+002°)
3.97417417417417e+004	(7.39137917476764e+001dB,1.18152813886894e+002°)
3.97557557557557e+004	(7.38619608771730e+001dB,1.19328597782791e+002°)
3.97697697697697e+004	(7.38147259471071e+001dB,1.20560008847202e+002°)
3.97837837837837e+004	(7.37728480065094e+001dB,1.21848212382058e+002°)
3.97977977977977e+004	(7.37371566841789e+001dB,1.23194000294139e+002°)
3.98118118118118e+004	(7.37085488062105e+001dB,1.24597703592023e+002°)
3.98258258258258e+004	(7.36879847072679e+001dB,1.26059097972193e+002°)
3.98398398398398e+004	(7.36764817695344e+001dB,1.27577304881394e+002°)
3.98538538538538e+004	(7.36751047582715e+001dB,1.29150691499140e+002°)
3.98678678678678e+004	(7.36849526103853e+001dB,1.30776774208083e+002°)
3.98818818818818e+004	(7.37071414820281e+001dB,1.32452131200524e+002°)
3.98958958958958e+004	(7.37427840794093e+001dB,1.34172330755044e+002°)
3.99099099099099e+004	(7.37929655796265e+001dB,1.35931882222098e+002°)
3.99239239239239e+004	(7.38587167801454e+001dB,1.37724216686477e+002°)
3.99379379379379e+004	(7.39409854678982e+001dB,1.39541703456132e+002°)
3.99519519519519e+004	(7.40406073283474e+001dB,1.41375706862008e+002°)
3.99659659659659e+004	(7.41582779708192e+001dB,1.43216685357485e+002°)
3.99799799799799e+004	(7.42945277758246e+001dB,1.45054331746499e+002°)
3.99939939939939e+004	(7.44497012319752e+001dB,1.46877749865269e+002°)
4.00080080080080e+004	(7.46239422031224e+001dB,1.48675659638282e+002°)
4.00220220220220e+004	(7.48171861610979e+001dB,1.50436619613885e+002°)
4.00360360360360e+004	(7.50291598771581e+001dB,1.52149254302912e+002°)
4.00500500500500e+004	(7.52593884545662e+001dB,1.53802473191631e+002°)
4.00640640640640e+004	(7.55072089878346e+001dB,1.55385669259883e+002°)
4.00780780780780e+004	(7.57717896309060e+001dB,1.56888887050478e+002°)
4.00920920920920e+004	(7.60521525075190e+001dB,1.58302953457625e+002°)
4.01061061061060e+004	(7.63471987347056e+001dB,1.59619567958569e+002°)
4.01201201201201e+004	(7.66557338542776e+001dB,1.60831352520133e+002°)
4.01341341341341e+004	(7.69764921491289e+001dB,1.61931864464222e+002°)
4.01481481481481e+004	(7.73081586159825e+001dB,1.62915577892644e+002°)
4.01621621621621e+004	(7.76493877203079e+001dB,1.63777840746580e+002°)
4.01761761761761e+004	(7.79988184252908e+001dB,1.64514815217626e+002°)
4.01901901901901e+004	(7.83550853260756e+001dB,1.65123409172204e+002°)
4.02042042042041e+004	(7.87168260099026e+001dB,1.65601205666222e+002°)
4.02182182182182e+004	(7.90826849914406e+001dB,1.65946396700642e+002°)
4.02322322322322e+004	(7.94513147408776e+001dB,1.66157726265856e+002°)
4.02462462462462e+004	(7.98213744377998e+001dB,1.66234446558533e+002°)
4.02602602602602e+004	(8.01915271569893e+001dB,1.66176290111813e+002°)
4.02742742742742e+004	(8.05604362341450e+001dB,1.65983459480483e+002°)
