Freq.	V(V1,V2)/I(R2)
Step Information: Cs=200p  (Run: 1/21)
4.07787787787787e+004	(8.27382019625812e+001dB,-1.58064176033700e+002°)
4.07927927927927e+004	(8.29010834111933e+001dB,-1.57828582692471e+002°)
4.08068068068067e+004	(8.30641560091605e+001dB,-1.57607900001075e+002°)
4.08208208208208e+004	(8.32274012703078e+001dB,-1.57401997191358e+002°)
4.08348348348348e+004	(8.33908020305925e+001dB,-1.57210750861424e+002°)
4.08488488488488e+004	(8.35543423483333e+001dB,-1.57034045212196e+002°)
4.08628628628628e+004	(8.37180074066816e+001dB,-1.56871772255556e+002°)
4.08768768768768e+004	(8.38817834182956e+001dB,-1.56723831997162e+002°)
4.08908908908908e+004	(8.40456575321133e+001dB,-1.56590132596056e+002°)
4.09049049049048e+004	(8.42096177421226e+001dB,-1.56470590503327e+002°)
4.09189189189188e+004	(8.43736527980013e+001dB,-1.56365130581940e+002°)
4.09329329329329e+004	(8.45377521174754e+001dB,-1.56273686209282e+002°)
4.09469469469469e+004	(8.47019057002454e+001dB,-1.56196199364233e+002°)
4.09609609609609e+004	(8.48661040433027e+001dB,-1.56132620699891e+002°)
4.09749749749749e+004	(8.50303380574629e+001dB,-1.56082909603369e+002°)
4.09889889889889e+004	(8.51945989849239e+001dB,-1.56047034243506e+002°)
4.10030030030029e+004	(8.53588783176568e+001dB,-1.56024971607340e+002°)
4.10170170170169e+004	(8.55231677164307e+001dB,-1.56016707525973e+002°)
4.10310310310310e+004	(8.56874589302674e+001dB,-1.56022236690299e+002°)
4.10450450450450e+004	(8.58517437161253e+001dB,-1.56041562656900e+002°)
4.10590590590590e+004	(8.60160137585996e+001dB,-1.56074697844026e+002°)
